 	2q	Intensity
655	38.237	127.956
656	38.301	127.207
657	38.365	126.192
658	38.429	125.695
659	38.493	124.975
660	38.557	124.302
661	38.621	124.166
662	38.685	123.904
663	38.749	123.077
664	38.813	122.488
665	38.877	122.409
666	38.941	122.191
667	39.005	122.024
668	39.068	122.100
669	39.132	121.963
670	39.196	121.926
671	39.260	121.342
672	39.324	120.776
673	39.388	120.536
674	39.452	120.556
675	39.516	120.943
676	39.580	121.131
677	39.644	120.754
678	39.708	120.504
679	39.772	120.924
680	39.836	120.776
681	39.899	121.280
682	39.963	122.213
683	40.027	122.579
684	40.091	121.844
685	40.155	121.224
686	40.219	120.497
687	40.283	119.977
688	40.347	119.877
689	40.411	119.629
690	40.475	118.775
691	40.539	118.834
692	40.603	119.019
693	40.667	118.675
694	40.730	117.798
695	40.794	117.493
696	40.858	117.249
697	40.922	117.247
698	40.986	117.343
699	41.050	117.453
700	41.114	116.888
701	41.178	116.383
702	41.242	116.593
703	41.306	116.754
704	41.370	117.011
705	41.434	116.652
706	41.498	116.371
707	41.562	116.563
708	41.625	116.842
709	41.689	116.957
710	41.753	116.672
711	41.817	116.694
712	41.881	117.330
713	41.945	117.766
714	42.009	117.548
715	42.073	117.238
716	42.137	117.520
717	42.201	117.859
718	42.265	118.222
719	42.329	118.911
720	42.393	120.445
721	42.456	121.973
722	42.520	122.811
723	42.584	123.904
724	42.648	125.649
725	42.712	129.047
726	42.776	133.492
727	42.840	138.060
728	42.904	143.026
729	42.968	152.711
730	43.032	166.712
731	43.096	186.994
732	43.160	221.547
733	43.224	288.950
734	43.288	458.334
735	43.351	1062.176
736	43.415	2777.071
737	43.479	4467.380
738	43.543	3584.971
739	43.607	1651.930
740	43.671	642.051
741	43.735	339.536
742	43.799	238.580
743	43.863	193.231
744	43.927	168.373
745	43.991	153.653
746	44.055	144.654
747	44.119	138.064
748	44.182	132.568
749	44.246	128.216
750	44.310	124.827
751	44.374	122.109
752	44.438	120.242
753	44.502	118.808
754	44.566	117.412
755	44.630	116.728
756	44.694	115.764
757	44.758	115.114
758	44.822	115.187
759	44.886	116.162
760	44.950	117.051
761	45.014	117.482
762	45.077	119.486
763	45.141	124.754
764	45.205	133.176
765	45.269	149.316
766	45.333	195.879
767	45.397	357.023
768	45.461	736.411
769	45.525	972.798
770	45.589	639.980
771	45.653	300.973
772	45.717	177.965
773	45.781	139.649
774	45.845	124.689
775	45.908	116.885
776	45.972	112.103
777	46.036	108.815
778	46.100	107.096
779	46.164	105.578
780	46.228	104.426
781	46.292	103.795
782	46.356	103.349
783	46.420	103.159
784	46.484	102.446
785	46.548	101.340
786	46.612	101.053
787	46.676	101.426
788	46.740	101.138
789	46.803	100.174
790	46.867	99.734
791	46.931	99.649
792	46.995	99.243
793	47.059	98.732
794	47.123	98.289
795	47.187	97.919
796	47.251	98.247
797	47.315	98.616
798	47.379	98.212
799	47.443	98.263
800	47.507	98.024
801	47.571	97.345
802	47.634	96.987
803	47.698	97.301
804	47.762	97.524
805	47.826	96.848
806	47.890	96.544
807	47.954	97.236
808	48.018	97.923
809	48.082	98.382
810	48.146	97.787
811	48.210	96.372
812	48.274	95.177
813	48.338	94.376
814	48.402	94.106
815	48.465	94.069
816	48.529	94.181
817	48.593	93.271
818	48.657	92.897
819	48.721	93.208
820	48.785	93.267
821	48.849	93.246
822	48.913	93.200
823	48.977	93.241
824	49.041	92.889
825	49.105	92.155
826	49.169	91.584
827	49.233	91.273
828	49.297	91.172
829	49.360	90.914
830	49.424	90.505
831	49.488	90.235
832	49.552	90.061
833	49.616	90.048
834	49.680	89.777
835	49.744	89.407
836	49.808	89.550
837	49.872	89.484
838	49.936	89.156
839	50.000	89.021
840	50.064	88.842
841	50.128	88.533
842	50.191	87.968
843	50.255	88.039
844	50.319	88.716
845	50.383	88.967
846	50.447	88.868
847	50.511	88.500
848	50.575	87.831
849	50.639	87.651
850	50.703	87.461
851	50.767	87.436
852	50.831	87.517
